name,price,mileage,transmission,range_km,fuel,city,road_accident,link
BMW X3 2019,39 800 $,89 тис. км,Автомат,,"Бензин, 2.98 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_39976213.html
Tesla Model 3 2024,29 000 $,22 тис. км,,400 км,"Електро, 60 кВт·год",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_tesla_model-3_40036422.html
Volkswagen Tiguan 2023,31 500 $,45 тис. км,Автомат,,"Бензин, 1.98 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_volkswagen_tiguan_40021695.html
Renault Master 2022,22 700 $,174 тис. км,Ручна / Механіка,,"Дизель, 2.3 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_renault_master_39926039.html
Renault Master 2018,14 900 $,568 тис. км,Ручна / Механіка,,"Дизель, 2.3 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_renault_master_40025488.html
Mercedes-Benz GL-Class 2012,19 600 $,254 тис. км,Автомат,,"Дизель, 2.99 л",Івано-Франківськ,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gl-class_39883899.html
Tesla Model 3 2022,19 600 $,107 тис. км,,450 км,"Електро, 82 кВт·год",Хмельницький,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-3_40021500.html
BMW X3 2018,28 000 $,83 тис. км,Автомат,,"Бензин, 1.6 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_39799621.html
Tesla Model 3 2021,19 999 $,91 тис. км,,598 км,Електро,Одеса,Був у ДТП,https://auto.ria.com/uk/auto_tesla_model-3_38000221.html
BMW X3 2013,10 300 $,194 тис. км,Автомат,,"Бензин, 2 л",Тернопіль,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_39826517.html
Skoda Kodiaq 2022,28 500 $,85 тис. км,Типтронік,,"Бензин, 1.98 л",Біла Церква,Не був у ДТП,https://auto.ria.com/uk/auto_skoda_kodiaq_39944376.html
BMW X3 2018,42 500 $,115 тис. км,Автомат,,"Бензин, 3 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_40036510.html
Mercedes-Benz G-Class 2017,105 000 $,39 тис. км,Автомат,,"Бензин, 5.5 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_g-class_33457925.html
Land Rover Range Rover 2016,35 500 $,198 тис. км,Автомат,,"Дизель, 4.4 л",Житомир,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover_40017859.html
Mercedes-Benz GLE-Class 2019,47 000 $,175 тис. км,Автомат,,"Дизель, 1.95 л",Дніпро (Дніпропетровськ),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_39733558.html
Volkswagen Golf 2025,29 500 $,3 тис. км,Автомат,,"Бензин, 1.4 л",Кривий Ріг,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_golf_40003566.html
Renault Master 2021,19 999 $,445 тис. км,Ручна / Механіка,,"Дизель, 2.3 л",Харків,Не був у ДТП,https://auto.ria.com/uk/auto_renault_master_39995686.html
BMW X3 2019,26 950 $,95 тис. км,Автомат,,"Бензин, 2 л",Львів (Львівська),Був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_39899879.html
Mercedes-Benz GLE-Class 2021,59 800 $,119 тис. км,Автомат,,"Бензин, 3 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_39842515.html
Skoda Kodiaq 2019,26 800 $,74 тис. км,Автомат,,"Бензин, 1.98 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_skoda_kodiaq_40023516.html
BMW X7 2020,67 500 $,105 тис. км,Автомат,,"Бензин, 4.4 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_39991469.html
